polygon_id,cp7,n_door_points,mean_assignment_confidence,mean_door_building_distance_m,n_cp7_on_building,building_area_m2,split_method,building_postal_fragment_area_m2,polygon_method,geometry,consumo_anual_estimado_kWh
100089,3800-192,1,0.9,0.0,1,307.36158936811864,whole_building_single_cp7,307.36158936811864,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41792.58542536023 108958.3344611503, -41793.1834209471 108958.2334491533, -41795.11240665567 108957.9064104745, -41797.1033919309 108957.5693705424, -41801.05836270756 108956.900291212, -41804.2093394309 108956.3672280051, -41810.93528970167 108955.228093097, -41814.40726408569 108954.6410234376, -41816.54224828749 108954.2789806161, -41818.24492337634 108968.4777182847, -41805.66093018794 108968.787999264, -41795.28800950846 108970.595206405, -41792.58542536023 108958.3344611503)))",17639.958321622446
10009,3800-025,1,0.7,1.5942489846662544,1,124.73409917563554,whole_building_single_cp7,124.73409917563554,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41347.33926068367 110227.5741245767, -41340.56966249171 110235.7431400393, -41331.58831101304 110228.2114566718, -41333.39220342659 110226.0244527289, -41338.36390680297 110219.9934418824, -41345.56519077398 110226.0761872779, -41347.33926068367 110227.5741245767)))",7158.683410203498
100096,3800-282,1,0.9,1.784027230571837,1,277.7501178679927,whole_building_single_cp7,277.7501178679927,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41446.03741519319 108265.269729918, -41434.15938698934 108245.1302826942, -41447.26124412999 108241.7370160234, -41450.23450579898 108246.8648765228, -41452.78973051438 108251.269756724, -41457.06310620149 108258.6365565009, -41450.46729100137 108262.6046602871, -41446.03741519319 108265.269729918)))",15940.51004580508
1001,3800-903,1,0.7,0.0,1,130.70602300878156,whole_building_single_cp7,130.70602300878156,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-50394.75464344968 110678.6633211102, -50391.01693765711 110686.2413158385, -50390.62696836572 110687.0323152837, -50388.46300739999 110685.9653704188, -50387.50608278555 110687.9073690442, -50379.06623494963 110683.7445841098, -50384.15183449085 110673.4325913361, -50394.75464344968 110678.6633211102)))",7501.42138124656
10010,3800-025,2,0.7,2.2898404788794267,1,157.43082301792538,whole_building_single_cp7,157.43082301792538,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41352.92875508092 110217.2151699648, -41345.56519077398 110226.0761872779, -41338.36390680297 110219.9934418824, -41336.51883361781 110218.4265072634, -41335.07577630397 110217.1995584264, -41337.47563339947 110214.2935530911, -41342.30534578677 110208.4435423539, -41352.92875508092 110217.2151699648)))",9035.199103063254
100107,3810-120,2,0.7,8.390869955193455,1,740.3430622533315,whole_building_single_cp7,740.3430622533315,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44079.00346421429 107866.8467383835, -44061.84413942947 107826.8583576591, -44077.479616684 107820.1501039625, -44094.63894028879 107860.137485234, -44087.03319506682 107863.4006084083, -44079.00346421429 107866.8467383835)))",42489.43659062728
100108,3810-101,1,0.7,0.0,1,41.07581216234989,whole_building_single_cp7,41.07581216234989,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43495.10507118503 107722.9960646799, -43491.95993519195 107719.6461677603, -43498.4766694661 107713.5270606159, -43501.62180545018 107716.8769575407, -43495.10507118503 107722.9960646799)))",2357.4045672403117
100109,3810-101,1,0.7,4.522917365665777,1,202.72022079549865,whole_building_single_cp7,202.72022079549865,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43498.4766694661 107713.5270606159, -43489.5412826486 107704.0103537429, -43500.86182194097 107693.3811670977, -43509.79820871131 107702.8978739738, -43498.4766694661 107713.5270606159)))",11634.427883894905
10011,3800-035,1,0.7,5.1569107064067765,1,140.16043227465934,whole_building_single_cp7,140.16043227465934,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41106.85711979139 110886.7326093933, -41089.02420935689 110887.9399706502, -41088.75021075347 110887.9589761929, -41088.74320605384 110887.8549780349, -41088.37095738847 110882.3520755468, -41089.58095130397 110882.2700510379, -41089.42284592697 110879.9380923683, -41105.73676388877 110878.8327619318, -41105.89987267454 110881.2397192627, -41106.48186976727 110881.2007074679, -41106.85711979139 110886.7326093933)))",8044.024592495259
100126,3810-101,1,0.7,0.0,1,67.79350774038504,whole_building_single_cp7,67.79350774038504,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43481.2033744742 107729.7443441861, -43491.95993519195 107719.6461677603, -43495.10507118503 107722.9960646799, -43484.34851048287 107733.094241096, -43481.2033744742 107729.7443441861)))",3890.774554736941
